 format: day,hour,value location:61_128 Start : 20191001 
 8, 2100, 59.000000 
 8, 2200, 57.000000 
 8, 2300, 46.000000 
 9, 0000, 38.000000 
 9, 0100, 34.000000 
 9, 0200, 30.000000 
 9, 0300, 29.000000 
 9, 0400, 28.000000 
 9, 0500, 26.000000 
 9, 0600, 29.000000 
 9, 0700, 33.000000 
 9, 0800, 39.000000 
 9, 0900, 48.000000 
 9, 1000, 51.000000 
 9, 1100, 56.000000 
 9, 1200, 60.000000 
 9, 1300, 64.000000 
 9, 1400, 66.000000 
 9, 1500, 69.000000 
 9, 1600, 72.000000 
 9, 1700, 73.000000 
 9, 1800, 74.000000 
 9, 1900, 75.000000 
 9, 2000, 73.000000 
 9, 2100, 74.000000 
 9, 2200, 68.000000 
 9, 2300, 56.000000 
 10, 0000, 57.000000 
 10, 0100, 54.000000 
 10, 0200, 51.000000 
 10, 0300, 47.000000 
 10, 0400, 42.000000 
 10, 0500, 39.000000 
 10, 0600, 42.000000 
 10, 0700, 43.000000 
 10, 0800, 46.000000 
 10, 0900, 75.000000 
 10, 1000, 90.000000 
 10, 1100, 95.000000 
 10, 1200, 90.000000 
 10, 1300, 91.000000 
 10, 1400, 93.000000 
 10, 1500, 92.000000 
 10, 1600, 92.000000 
 10, 1700, 92.000000 
 10, 1800, 94.000000 
 10, 1900, 97.000000 
 10, 2000, 97.000000 
 10, 2100, 96.000000 
 10, 2200, 92.000000 
 10, 2300, 83.000000 
 11, 0000, 80.000000 
 11, 0100, 71.000000 
 11, 0200, 72.000000 
